Brand,Screen Size,Color,RAM,Storage,GPU,CPU,Price
Apple,15.0,Silver,8,512.0,Integrated,M2,114994.0
Lenovo,14.0,Blue,8,512.0,Integrated,Intel Core,39499.0
Apple,15.3,Silver,8,512.0,Integrated,M3,123994.0
Apple,16.2,Black,18,512.0,Integrated,M3 Pro,189994.0
Microsoft,15.0,Black,16,1000.0,Integrated,Intel Core,178990.0
Microsoft,15.0,Black,16,512.0,Integrated,Intel Core,159990.0
Microsoft,13.8,Silver,16,512.0,Integrated,Intel Core,150990.0
acer,14.0,Silver,16,512.0,Integrated,Intel Core,79990.0
SAMSUNG,15.6,Gray,16,512.0,Integrated,Intel Core,77990.0
Apple,15.3,Silver,8,512.0,Integrated,M3,123994.0
HP,15.6,Silver,16,512.0,Integrated,Intel Core,65994.0
Microsoft,13.8,Black,16,1000.0,Integrated,Intel Core,170990.0
Lenovo,15.6,Grey,16,512.0,Integrated,AMD Ryzen,45790.0
SAMSUNG,14.0,Gray,16,512.0,Integrated,Intel Core,139990.0
Apple,15.3,Silver,8,512.0,Integrated,M3,123994.0
Apple,13.3,Grey,8,256.0,Integrated,M1,80994.0
Apple,16.2,Black,36,512.0,Integrated,M3 Pro,239994.0
Microsoft,15.0,Silver,16,256.0,Integrated,Intel Core,139990.0
HP,15.6,Silver,8,512.0,Integrated,Intel Core,37990.0
Apple,15.3,Silver,16,256.0,Integrated,M4,117490.0
Lenovo,15.6,Grey,24,512.0,NVIDIA GeForce,AMD Ryzen,84990.0
Lenovo,15.6,Grey,24,512.0,NVIDIA GeForce,AMD Ryzen,92990.0
ASUS,15.6,Black,16,512.0,NVIDIA GeForce,AMD Ryzen,65990.0
ASUS,15.6,Gray,16,512.0,NVIDIA GeForce,AMD Ryzen,82990.0
ASUS,14.0,Silver,16,512.0,Integrated,Intel Core,62990.0
HP,16.1,Black,16,1000.0,NVIDIA GeForce,AMD Ryzen,107990.0
HP,15.6,Silver,16,512.0,Integrated,AMD Ryzen,43499.0
ASUS,15.6,Blue,16,512.0,Integrated,Intel Core,55990.0
ASUS,15.6,Gray,16,512.0,NVIDIA GeForce,Intel Core,92990.0
Lenovo,15.6,Grey,24,512.0,NVIDIA GeForce,AMD Ryzen,70990.0
Lenovo,14.0,Grey,32,1000.0,Integrated,Intel Core,112990.0
HP,14.0,Blue,16,512.0,Integrated,Intel Core,97999.0
ASUS,15.6,Gray,16,1000.0,NVIDIA GeForce,Intel Core,104990.0
Lenovo,15.6,Grey,24,512.0,NVIDIA Geforce,Intel Core,88490.0
DELL,15.6,Silver,16,512.0,Integrated,Intel Core,70990.0
ASUS,14.0,Silver,8,512.0,Integrated,AMD Ryzen,35990.0
Dell,14.0,Blue,8,512.0,Integrated,Intel Core,40990.0
DELL,15.6,Gray,16,512.0,Integrated,Intel Core,77990.0
ASUS,15.6,Silver,16,1000.0,Integrated,Intel Core,71990.0
HP,14.0,Silver,16,1000.0,Integrated,Intel Core,71990.0
ASUS,15.6,Silver,8,512.0,Integrated,Intel Core,50990.0
HP,14.0,Blue,16,512.0,Integrated,Intel Core,104999.0
Apple,14.2,Silver,24,512.0,Integrated,M4 Pro,187990.0
Apple,15.3,Silver,16,256.0,Integrated,M3,104994.0
HP,15.6,Silver,16,512.0,Integrated,Intel Core,54999.0
acer,15.6,Silver,8,512.0,Integrated,Intel Celeron,25990.0
HP,15.6,Silver,8,512.0,NVIDIA GeForce,Intel Core,59000.0
